ID,Strain,Nose,Max,Eye,Octic,Mandible
Female_ABOV_N343410_Chst14_align,Chst14,1.300966108,1.390083099,2.126295595,2.473944275,0.663351995
Female_ABOV_N34347_Chst14_align,Chst14,1.217029836,0.949876923,0.819707279,2.810239321,1.373012892
Male_ABOV_N340915_Chst14_align,Chst14,1.589234604,1.208021392,1.551875757,1.220879512,0.759040379
Male_ABOV_N34344_Chst14_align,Chst14,1.157500009,1.336508093,1.130741715,2.467134727,1.495112855
Male_ABOV_N34348_Chst14_align,Chst14,0.971725276,0.743838616,0.816816058,2.28309871,0.718726033
Male_ABOV_N34349_Chst14_align,Chst14,1.481293685,0.748499462,1.446550544,2.720762395,0.922668909
Male_ACPZ_K45086_Clps_align,Clps,0.891508268,0.737739347,0.893920265,0.76682322,1.930661678
undeterminedSex_ACPZ_K450611_Clps_align,Clps,2.055509839,1.586212923,1.451021091,1.171976537,2.501128161
undeterminedSex_ACPZ_K450615_Clps_align,Clps,1.079392246,0.958341252,2.313506746,2.074763529,0.867306488
undeterminedSex_ACPZ_K450616_Clps_align,Clps,1.450931982,1.172132323,1.224937434,1.846511487,1.185389529
undeterminedSex_ACPZ_K45066_Clps_align,Clps,1.076776465,0.764643262,0.738541398,0.993447791,0.933415716
undeterminedSex_ACPZ_K45068_Clps_align,Clps,0.259144147,0.573838471,1.022400483,1.658348596,1.223513809
undeterminedSex_ACPZ_K450817_Clps_align,Clps,0.900345869,0.712748524,1.91916852,3.462616186,0.662432618
undeterminedSex_ACPZ_K450818_Clps_align,Clps,1.794444767,0.889808364,1.81613758,2.499319715,0.983963213
Female_ACOL_K339229_Creb3_align,Creb3,0.831331388,0.885199936,0.772808093,2.469677794,0.984525167
Female_ACOL_K33931_Creb3_align,Creb3,0.726002669,0.762137343,1.274727162,1.947087993,0.664344807
Male_ACOL_K33953_Creb3_align,Creb3,1.120331314,1.088000219,1.589585859,2.918144543,1.094666143
Male_ACOL_K33954_Creb3_align,Creb3,1.033707189,1.043415942,0.821299622,2.17092266,0.850672674
Male_ACOL_K343917_Creb3_align,Creb3,0.735142465,0.899145624,2.324195492,2.183587571,0.731983943
Male_ACOL_K343923_Creb3_align,Creb3,0.634665446,0.540593781,1.604645131,2.22029294,0.785401044
Female_ABHN_N213722_Dcc_align,Dcc,0.963736024,0.779765729,1.388795568,2.155685007,1.140457682
Female_ABHN_N21376_Dcc_align,Dcc,0.930399723,0.64864536,0.468413603,1.261012534,0.83110354
Female_ABHN_N222020_Dcc_align,Dcc,0.861585091,1.194231437,1.889969901,2.142741463,1.430403699
Female_ABHN_N222025_Dcc_align,Dcc,0.921434079,0.912025626,1.039480752,3.264900882,1.324330385
Male_ABHN_N222028_Dcc_align,Dcc,0.274428635,0.693387066,1.264319737,2.16026553,0.997848885
Male_ABHN_N22209_Dcc_align,Dcc,2.235292983,1.400133639,3.331833571,2.44252604,1.370185767
Male_ABHN_N282316_Dcc_align,Dcc,1.124639046,0.650989613,1.972826369,0.973463559,0.693510898
Male_ABHN_N28237_Dcc_align,Dcc,0.593907968,0.91872941,1.389635122,1.748405697,0.550776603
Female_ACUD_K389325_Dok7_align,Dok7,0.771949708,0.700414309,1.327755015,2.859251087,1.362125235
Female_ACUD_K389344_Dok7_align,Dok7,1.649220184,1.204491977,1.744398554,3.270978872,1.872803117
Female_ACUD_K38935_Dok7_align,Dok7,1.374528338,1.246560339,2.012561077,4.267024684,1.850621178
Female_ACUD_K391515_Dok7_align,Dok7,1.641826081,1.093558804,1.534977314,2.579866682,0.971893125
Male_ACUD_K389316_Dok7_align,Dok7,0.915166666,0.748248553,1.251482913,1.86116406,0.884202141
Male_ACUD_K389324_Dok7_align,Dok7,1.029540891,0.941542632,1.206332106,4.375907728,1.087013607
Male_ACUD_K389333_Dok7_align,Dok7,1.875770023,1.129249849,1.952255948,1.650161751,1.396474445
Male_ACUD_K39152_Dok7_align,Dok7,0.911543271,1.263237075,1.909379288,2.346018435,1.422157481
Female_ACDD_K280017_Fam20c_align,Fam20c,2.71231417,1.605493956,3.298182043,3.881745371,0.981696295
Female_ACDD_K28682_align,Fam20c,2.953300691,1.216569673,2.073543974,3.418640207,1.169212656
Female_ACDD_K28691_Fam20c_align,Fam20c,1.636648406,1.029636201,0.762273057,1.435421504,1.284811451
Male_ACDD_K280014_Fam20c_align,Fam20c,2.608113317,1.166115939,1.522292362,1.74313271,1.514541262
Male_ACDD_K280019_Fam20c_align,Fam20c,0.729472382,1.490705452,1.993746703,2.56661851,1.822649352
Male_ACDD_K28695_Fam20c_align,Fam20c,0.541136644,1.290959513,1.753349395,4.141178486,2.583960224
Female_CR10285-153-6_Hmox1_align,Hmox1,2.109033989,1.728402078,3.03605,2.963130498,1.278237638
Female_CR10285-166-6_Hmox1_align,Hmox1,0.542158338,0.709712161,1.230230036,1.326395348,0.910144056
Female_AAZD_K200922_Krt5_align,Krt5,1.077864291,0.720425498,1.496163668,2.566657473,0.482209646
Female_AAZD_K20095_Krt5_align,Krt5,1.929292176,1.148098386,2.007799295,2.13865517,0.98708043
Female_AAZD_K201120_Krt5_align,Krt5,0.564057948,0.619514454,1.608868023,2.681260463,1.159181168
Female_AAZD_K201223_Krt5_align,Krt5,0.379638082,0.605655096,1.158740388,1.673905841,1.103831033
Male_AAZD_K200914_Krt5_align,Krt5,1.401349296,1.168633587,1.070053612,1.118867718,1.451573696
Male_AAZD_K200923_Krt5_align,Krt5,1.245932337,0.976770509,2.14552621,2.092150369,0.558978324
Female_ABOU_K1836-1-e15_align,Nabp2,0.633224337,0.829778368,2.371369388,1.906979952,1.290543523
Female_ABOU_K1836-23-e15_align,Nabp2,1.091551235,1.07185332,1.450185365,1.477193773,1.714136628
Female_ABOU_K1838-2-e15_align,Nabp2,1.426562337,1.786806653,1.57875952,2.992419816,1.891366502
Male_ABOU_K1836-13-e15_align,Nabp2,0.548611616,0.835526065,2.32286599,2.16906297,0.993987672
Male_ABOU_K1836-6-e15_align,Nabp2,0.946109467,0.832007022,1.187402354,2.524687824,1.098317557
Female_ACJL_K50126_Nhlh1_align,Nhlh1,0.557741576,0.824803031,1.652462357,3.037033288,1.057552982
Female_ACJL_K501317_Nhlh1_align,Nhlh1,2.836174852,1.343176738,3.1122988,4.046110649,1.74935576
Female_ACJL_K501325_Nhlh1_align,Nhlh1,0.592337393,1.111630369,1.322983886,2.369325348,1.328109974
Male_ACJL_K501213_Nhlh1_align,Nhlh1,0.737844507,0.73751896,1.095903855,1.669960352,1.136448721
Male_ACJL_K50122_Nhlh1_align,Nhlh1,0.842327776,1.262078631,2.174911844,4.815799734,1.866909593
Male_ACJL_K51442_Nhlh1_align,Nhlh1,2.326663107,1.341659554,1.46047267,2.467639231,2.038907942
Male_ACGE_K27971_Pax7_align,Pax7,1.696989683,1.244148814,1.542665218,2.206463617,1.186561468
Male_ACGE_K28653_Pax7_align,Pax7,1.234203382,1.170307546,1.872545616,4.665963686,1.316682572
Male_ACGE_K28654_Pax7_align,Pax7,1.068827674,0.982380003,0.855244239,2.049897029,1.02620902
Male_ACGE_K28659_Pax7_align,Pax7,1.049320246,1.062495394,1.396135902,2.458194391,0.919571505
Female_343813_Pdx1_align,Pdx1,0.726276636,0.689302809,1.280005342,1.447694523,1.131682879
Female_ACCB_K238929_Rfx6_align,Rfx6,1.019701754,0.732349798,1.839001097,2.636485762,0.861508654
Female_ACCB_K238932_Rfx6_align,Rfx6,1.211710304,0.696683332,1.855779525,1.735041304,0.815425011
Female_ACCB_K23893_Rfx6_align,Rfx6,1.70252174,0.745823547,0.963141487,2.752789416,0.953597136
Male_ACCB_K238911_Rfx6_align,Rfx6,1.174491239,1.410202067,1.176469591,3.439437969,0.990020533
Male_ACCB_K238912_Rfx6_align,Rfx6,1.217651115,0.997025766,1.330118806,1.976477771,1.157528476
Male_ACCB_K238913_Rfx6_align,Rfx6,0.566284564,0.645478571,0.708093107,2.566339066,0.564924879
Female_ACAX_K231336_Robo4_align,Robo4,0.68936654,0.862179428,1.487953281,3.498710009,1.099229205
Female_ACAX_K231339_Robo4_align,Robo4,1.288204821,0.858136662,0.824319257,1.947191329,1.472555677
Male_ACAX_K231329_Robo4_align,Robo4,0.872999051,1.728255056,2.09263035,2.128213273,2.817715915
Male_ACAX_K231332_Robo4_align,Robo4,0.633303921,0.625606297,1.370275508,1.970631385,0.804535377
Male_ACAX_K231338_Robo4_align,Robo4,1.039737013,1.153914218,1.653334597,1.778385459,1.565114554
Female_ABSY_K175520_Slc6a5_align,Slc6a5,0.597992144,1.340863563,1.968941935,2.491920581,1.582222441
Female_ABSY_K175523_Slc6a5_align,Slc6a5,1.224239865,0.679733165,1.313579737,1.489955551,0.693554082
Female_ABSY_K17559_Slc6a5_align,Slc6a5,0.59638861,0.799537519,0.738579099,1.758050133,0.972720797
Male_ABSY_K175512_Slc6a5_align,Slc6a5,1.191645042,0.755179358,1.520057408,1.281976959,1.811911225
Male_ABSY_K21028_Slc6a5_align,Slc6a5,1.379831873,1.105862349,0.937074157,2.346615564,1.579730883
Female_379260_Vars2_align,Vars2,0.860900983,0.780844584,1.225113665,3.67274275,1.43722721
Female_382287_Vars2_align,Vars2,0.97588583,1.415847911,2.660642276,2.984836513,1.817132898
Female_382291_Vars2_align,Vars2,0.498413138,0.614677682,0.894428899,2.674334275,1.345252075
Male_382292_Vars2_align,Vars2,0.681127826,0.929730232,2.276578445,3.499564612,1.225944377
Female_ACEP_K42948_Wnt1_align,Wnt1,1.607156949,1.147345984,2.296168141,2.119216743,0.817687622
undeterminedSex_ACEP_K434110_Wnt1_align,Wnt1,0.719951823,0.814360286,1.162498195,2.103028038,0.734936358
undeterminedSex_ACEP_K43411_Wnt1_align,Wnt1,0.540302875,0.877927205,1.854973397,1.890904451,1.195491297
undeterminedSex_ACEP_K43416_Wnt1_align,Wnt1,0.323425349,0.555268907,0.868016615,1.157835779,0.776765867
undeterminedSex_ACEP_K43417_Wnt1_align,Wnt1,0.849828685,1.392638215,2.433118989,2.963356578,1.33900634
